活动,时长,开始时间,结束时间,起,止,,
家务,0:41,2020/7/15 13:03,2020/7/15 13:45,,,,
用餐,0:57,2020/7/15 12:06,2020/7/15 13:03,12:06,13:03,,
家务,3:56,2020/7/15 8:10,2020/7/15 12:06,,,,
睡眠,7:51,2020/7/15 0:18,2020/7/15 8:10,0:18,8:10,,
家务,1:11,2020/7/14 23:07,2020/7/15 0:18,,,,
阅读,1:22,2020/7/14 21:52,2020/7/14 23:14,,,,
娱乐,1:00,2020/7/14 20:51,2020/7/14 21:52,,,,
家务,0:54,2020/7/14 19:57,2020/7/14 20:51,,,,
电影,1:57,2020/7/14 17:59,2020/7/14 19:56,17:59,19:56,,
用餐,1:19,2020/7/14 17:58,2020/7/14 19:18,17:58,19:18,,
家务,1:19,2020/7/14 16:39,2020/7/14 17:58,,,,
学习,2:04,2020/7/14 14:34,2020/7/14 16:39,,16:39,,
家务,0:13,2020/7/14 14:21,2020/7/14 14:34,,,,
学习,0:57,2020/7/14 13:23,2020/7/14 14:21,13:23,,,
家务,0:59,2020/7/14 12:23,2020/7/14 13:23,,,,
用餐,0:22,2020/7/14 12:01,2020/7/14 12:23,12:01,12:23,,
学习,0:35,2020/7/14 11:25,2020/7/14 12:01,,,,
家务,0:14,2020/7/14 11:11,2020/7/14 11:25,,,,
学习,1:19,2020/7/14 9:51,2020/7/14 11:11,9:51,11:11,,
家务,2:00,2020/7/14 7:50,2020/7/14 9:51,,,,
睡眠,6:58,2020/7/14 0:52,2020/7/14 7:50,0:52,7:50,,
家务,1:07,2020/7/13 23:44,2020/7/14 0:52,,,,
学习,1:16,2020/7/13 22:28,2020/7/13 23:44,22:28,23:44,,
学习,1:48,2020/7/13 20:40,2020/7/13 22:28,20:40,22:28,,
电影,4:04,2020/7/13 17:59,2020/7/13 22:03,17:59,22:03,,
用餐,1:49,2020/7/13 17:59,2020/7/13 19:48,17:59,19:48,,
家务,1:25,2020/7/13 16:33,2020/7/13 17:59,,,,
学习,2:21,2020/7/13 14:11,2020/7/13 16:33,14:11,16:33,,
用餐,0:24,2020/7/13 13:55,2020/7/13 14:19,13:55,14:19,,
娱乐,2:10,2020/7/13 12:00,2020/7/13 14:11,,,,
家务,0:38,2020/7/13 11:21,2020/7/13 12:00,,,,
娱乐,0:41,2020/7/13 10:40,2020/7/13 11:21,,,,
学习,2:18,2020/7/13 8:21,2020/7/13 10:40,8:21,10:40,,
家务,1:13,2020/7/13 7:08,2020/7/13 8:21,,,,
睡眠,6:16,2020/7/13 0:51,2020/7/13 7:08,0:51,7:08,,
家务,1:15,2020/7/12 23:36,2020/7/13 0:51,,,,
睡眠,,,,1:26,8:23,6:57,
睡眠,,,,12:41,13:34,0:52,7:49
学习,,,,9:29,11:57,2:28,
学习,,,,13:48,16:58,3:09,
学习,,,,21:07,23:23,2:16,7:53
电影,,,,18:23,20:47,2:24,
电影,,,,11:32,12:51,1:19,
工作,,,,9:29,12:14,2:45,
工作,,,,13:11,16:41,3:30,
工作,,,,19:20,23:27,4:07,10:22
用餐,,,,11:59,12:35,0:36,
用餐,,,,18:20,19:23,1:03,
写作,,,,20:34,0:01,3:26,
